true_x,true_y,pred_x,pred_y
"[39.02439024390244, 35.77235772357724, 41.46341463414634, 39.83739837398374, 0.0, 0.0, 0.0, 39.1869918699187, 39.34959349593496, 38.699186991869915, 41.6260162601626, 40.8130081300813, 40.65040650406504, 37.72357723577236, 38.699186991869915, 35.77235772357724, 0.0]","[29.565217391304348, 37.10144927536232, 37.971014492753625, 28.405797101449274, 0.0, 0.0, 0.0, 57.68115942028985, 68.40579710144928, 78.26086956521739, 54.78260869565217, 66.66666666666667, 74.4927536231884, 27.536231884057973, 27.246376811594203, 28.985507246376812, 0.0]","[36.666666666666664, 35.885416666666664, 41.041666666666664, 40.260416666666664, 0.0, 0.0, 0.0, 38.645833333333336, 39.58333333333333, 39.21875, 40.46875, 40.052083333333336, 39.166666666666664, 35.989583333333336, 36.666666666666664, 35.46875, 0.0]","[28.796296296296298, 36.574074074074076, 37.129629629629626, 28.51851851851852, 0.0, 0.0, 0.0, 53.888888888888886, 65.83333333333333, 77.5925925925926, 53.333333333333336, 65.83333333333333, 76.01851851851852, 28.425925925925927, 28.055555555555557, 30.0, 0.0]"
"[50.93333333333333, 49.86666666666667, 49.733333333333334, 50.53333333333333, 51.86666666666667, 52.53333333333333, 52.666666666666664, 50.266666666666666, 50.4, 50.13333333333333, 51.733333333333334, 51.86666666666667, 52, 50.53333333333333, 51.2, 50.4, 51.46666666666667]","[57.345971563981045, 57.81990521327014, 60.90047393364929, 58.29383886255924, 57.58293838862559, 59.47867298578199, 62.08530805687204, 62.796208530805686, 67.06161137440758, 69.43127962085308, 63.03317535545024, 66.35071090047393, 69.43127962085308, 56.39810426540284, 56.39810426540284, 56.872037914691944, 56.872037914691944]","[50.572916666666664, 50.416666666666664, 50.208333333333336, 50.31250000000001, 51.24999999999999, 51.770833333333336, 51.354166666666664, 50.520833333333336, 50.572916666666664, 50.83333333333333, 51.145833333333336, 51.24999999999999, 51.71875, 50.46874999999999, 50.625, 50.31250000000001, 50.88541666666667]","[56.388888888888886, 58.14814814814815, 59.72222222222222, 61.29629629629629, 58.24074074074074, 59.81481481481481, 61.01851851851852, 62.12962962962963, 65.83333333333333, 70.27777777777777, 62.31481481481481, 66.20370370370371, 69.9074074074074, 56.018518518518526, 55.833333333333336, 55.925925925925924, 56.2037037037037]"
"[64.26666666666667, 63.06666666666667, 60.266666666666666, 62.13333333333333, 66.53333333333333, 67.06666666666666, 66.26666666666667, 62.93333333333333, 62.13333333333333, 61.733333333333334, 65.6, 65.73333333333333, 63.733333333333334, 64.26666666666667, 64.93333333333334, 63.86666666666667, 66]","[40.28436018957346, 44.312796208530806, 47.156398104265406, 43.838862559241704, 44.78672985781991, 51.4218009478673, 59.71563981042654, 54.02843601895734, 61.611374407582936, 65.16587677725119, 54.73933649289099, 62.322274881516584, 66.35071090047393, 39.573459715639814, 39.573459715639814, 39.573459715639814, 40.52132701421801]","[64.21875, 62.5, 59.895833333333336, 61.61458333333333, 66.92708333333334, 67.23958333333333, 65.9375, 62.083333333333336, 59.84374999999999, 58.69791666666667, 64.84375, 64.63541666666667, 64.63541666666667, 63.854166666666664, 64.73958333333333, 64.01041666666667, 65.72916666666667]","[40.55555555555556, 44.351851851851855, 48.888888888888886, 45.0, 45.925925925925924, 53.148148148148145, 58.98148148148148, 56.111111111111114, 65.55555555555556, 74.72222222222223, 57.870370370370374, 65.74074074074075, 74.53703703703704, 39.53703703703704, 39.907407407407405, 40.27777777777778, 40.74074074074074]"
"[46.4, 44.8, 43.2, 45.333333333333336, 48, 49.46666666666667, 49.46666666666667, 45.733333333333334, 45.86666666666667, 46.266666666666666, 48.266666666666666, 48.4, 48, 45.733333333333334, 46.93333333333333, 45.2, 47.6]","[38.15165876777251, 41.46919431279621, 46.208530805687204, 42.654028436018955, 41.23222748815166, 47.39336492890995, 52.3696682464455, 53.55450236966825, 61.37440758293839, 67.06161137440758, 53.317535545023695, 61.611374407582936, 67.06161137440758, 37.44075829383886, 37.677725118483416, 37.203791469194314, 37.677725118483416]","[46.09375, 44.635416666666664, 43.22916666666667, 45.104166666666664, 48.072916666666664, 49.375, 51.145833333333336, 49.635416666666664, 49.895833333333336, 45.625, 45.625, 46.458333333333336, 52.29166666666667, 48.020833333333336, 48.28125, 47.96875, 45.78125]","[37.31481481481482, 41.11111111111111, 46.111111111111114, 42.22222222222222, 40.74074074074074, 45.370370370370374, 39.25925925925926, 42.31481481481482, 51.57407407407407, 52.129629629629626, 59.72222222222222, 67.4074074074074, 37.96296296296296, 51.66666666666667, 59.62962962962963, 67.03703703703704, 36.94444444444444]"
"[45.6910569105691, 43.739837398373986, 43.2520325203252, 43.90243902439025, 46.99186991869919, 47.15447154471545, 47.479674796747965, 44.390243902439025, 44.8780487804878, 45.040650406504064, 46.50406504065041, 46.50406504065041, 46.34146341463415, 45.36585365853659, 45.853658536585364, 44.552845528455286, 46.17886178861789]","[37.10144927536232, 38.55072463768116, 42.31884057971015, 45.507246376811594, 36.52173913043478, 40.289855072463766, 42.608695652173914, 43.47826086956522, 45.507246376811594, 46.666666666666664, 42.31884057971015, 46.08695652173913, 47.82608695652174, 36.52173913043478, 36.52173913043478, 35.94202898550725, 35.94202898550725]","[45.364583333333336, 44.84375, 44.895833333333336, 45.729166666666664, 45.46875, 46.71875, 47.083333333333336, 45.3125, 48.125, 53.125, 45.885416666666664, 48.645833333333336, 52.03124999999999, 45.3125, 45.46875, 45.15625, 0.0]","[36.75925925925926, 38.7962962962963, 43.24074074074074, 45.27777777777778, 38.24074074074074, 42.03703703703704, 44.166666666666664, 47.03703703703704, 53.148148148148145, 60.18518518518518, 46.48148148148148, 53.7962962962963, 58.98148148148148, 36.574074074074076, 36.11111111111111, 36.388888888888886, 0.0]"
"[35.06666666666667, 35.06666666666667, 32.4, 33.2, 38.266666666666666, 38.8, 38.4, 35.46666666666667, 36.53333333333333, 37.6, 37.2, 38.4, 39.6, 0.0, 35.733333333333334, 0.0, 36.93333333333333]","[29.85781990521327, 34.59715639810427, 36.96682464454976, 32.22748815165877, 35.54502369668246, 42.89099526066351, 49.5260663507109, 49.5260663507109, 57.345971563981045, 64.21800947867298, 50, 57.58293838862559, 65.40284360189574, 0.0, 28.90995260663507, 0.0, 30.56872037914692]","[34.53125, 34.791666666666664, 33.697916666666664, 33.75, 32.8125, 32.916666666666664, 37.864583333333336, 38.54166666666667, 38.28125, 35.572916666666664, 36.614583333333336, 37.864583333333336, 37.552083333333336, 0.0, 39.32291666666667, 0.0, 34.322916666666664]","[29.907407407407405, 34.81481481481482, 39.351851851851855, 39.44444444444444, 34.074074074074076, 39.907407407407405, 35.55555555555556, 41.75925925925926, 48.148148148148145, 47.68518518518518, 57.12962962962963, 64.9074074074074, 47.68518518518518, 0.0, 65.37037037037037, 0.0, 29.259259259259256]"
"[52.266666666666666, 51.06666666666667, 49.6, 50.93333333333333, 54, 54.666666666666664, 53.2, 50.666666666666664, 51.06666666666667, 51.06666666666667, 53.46666666666667, 52.93333333333333, 52.666666666666664, 0.0, 0.0, 51.6, 53.2]","[40.28436018957346, 42.654028436018955, 44.07582938388626, 41.46919431279621, 43.127962085308056, 47.867298578199055, 48.5781990521327, 51.18483412322275, 58.056872037914694, 62.796208530805686, 51.18483412322275, 58.056872037914694, 62.55924170616114, 0.0, 0.0, 39.81042654028436, 40.04739336492891]","[52.34375, 50.83333333333333, 49.791666666666664, 50.989583333333336, 53.07291666666667, 53.75, 53.125, 51.24999999999999, 51.770833333333336, 51.354166666666664, 52.760416666666664, 52.708333333333336, 52.34375, 0.0, 0.0, 51.71875, 52.65625000000001]","[41.01851851851852, 43.425925925925924, 46.48148148148148, 47.96296296296296, 43.333333333333336, 46.666666666666664, 48.61111111111111, 50.46296296296296, 56.574074074074076, 62.59259259259259, 50.64814814814815, 56.574074074074076, 62.59259259259259, 0.0, 0.0, 40.833333333333336, 40.925925925925924]"
"[49.2, 47.333333333333336, 47.2, 47.2, 50.8, 50.666666666666664, 50, 48.13333333333333, 48.666666666666664, 48.666666666666664, 50.666666666666664, 50, 50, 0.0, 0.0, 48.53333333333333, 50]","[37.677725118483416, 40.28436018957346, 45.497630331753555, 48.81516587677725, 40.04739336492891, 44.312796208530806, 39.81042654028436, 48.81516587677725, 54.02843601895734, 59.47867298578199, 48.34123222748815, 53.791469194312796, 58.76777251184834, 0.0, 0.0, 37.203791469194314, 36.72985781990521]","[49.375, 48.229166666666664, 47.65625, 47.5, 50.15625, 50.572916666666664, 50.46874999999999, 48.489583333333336, 48.90625, 48.90625, 50.0, 49.84375, 49.635416666666664, 0.0, 0.0, 48.541666666666664, 49.947916666666664]","[37.592592592592595, 40.833333333333336, 43.98148148148148, 47.40740740740741, 40.64814814814815, 42.87037037037037, 44.72222222222222, 48.05555555555556, 54.166666666666664, 59.90740740740741, 47.77777777777778, 54.166666666666664, 59.81481481481481, 0.0, 0.0, 37.407407407407405, 37.407407407407405]"
"[50.4, 48.666666666666664, 46.93333333333333, 48.93333333333333, 52.666666666666664, 52.93333333333333, 53.2, 48.8, 48.8, 48.666666666666664, 52.13333333333333, 51.86666666666667, 51.86666666666667, 50, 50.8, 49.333333333333336, 51.46666666666667]","[62.55924170616114, 67.29857819905213, 68.00947867298578, 64.21800947867298, 67.53554502369668, 72.27488151658768, 78.90995260663507, 78.19905213270142, 88.62559241706161, 97.1563981042654, 78.43601895734596, 88.38862559241706, 97.1563981042654, 61.84834123222749, 61.84834123222749, 62.796208530805686, 62.796208530805686]","[50.31250000000001, 48.645833333333336, 47.1875, 45.625, 52.5, 53.07291666666667, 53.02083333333333, 49.47916666666667, 48.645833333333336, 48.229166666666664, 48.333333333333336, 51.770833333333336, 52.135416666666664, 52.23958333333333, 52.34375, 50.0, 50.72916666666667]","[63.14814814814815, 67.03703703703704, 69.16666666666667, 65.18518518518519, 67.5, 72.5925925925926, 78.05555555555556, 78.24074074074075, 87.31481481481481, 95.18518518518519, 99.25925925925925, 78.70370370370371, 87.5925925925926, 95.0925925925926, 99.25925925925925, 62.5, 62.5]"
"[31.466666666666665, 28.8, 33.733333333333334, 33.2, 0.0, 0.0, 0.0, 31.466666666666665, 31.333333333333332, 32.13333333333333, 32.53333333333333, 33.06666666666667, 32.93333333333333, 30.533333333333335, 30.933333333333334, 28.533333333333335, 0.0]","[36.96682464454976, 44.07582938388626, 47.156398104265406, 39.09952606635071, 0.0, 0.0, 0.0, 61.13744075829384, 70.37914691943128, 78.67298578199052, 59.00473933649289, 66.58767772511848, 75.11848341232228, 36.492890995260666, 35.78199052132702, 38.15165876777251, 0.0]","[30.677083333333332, 28.854166666666664, 33.489583333333336, 32.864583333333336, 0.0, 0.0, 0.0, 30.989583333333332, 31.770833333333332, 32.03125, 31.354166666666668, 31.927083333333332, 31.822916666666668, 30.0, 30.520833333333336, 28.229166666666668, 0.0]","[36.851851851851855, 43.98148148148148, 46.94444444444444, 40.370370370370374, 0.0, 0.0, 0.0, 59.25925925925925, 68.7962962962963, 77.5925925925926, 58.79629629629629, 68.51851851851852, 76.66666666666667, 36.48148148148148, 36.01851851851852, 37.96296296296296, 0.0]"
"[47.06666666666667, 45.333333333333336, 42.666666666666664, 44.666666666666664, 50.53333333333333, 51.2, 51.2, 46.8, 47.06666666666667, 47.46666666666667, 50, 50.8, 51.46666666666667, 46.8, 47.6, 0.0, 48.13333333333333]","[33.88625592417062, 38.86255924170616, 39.573459715639814, 35.07109004739336, 39.09952606635071, 45.023696682464454, 52.132701421800945, 52.132701421800945, 62.08530805687204, 71.09004739336493, 52.132701421800945, 61.611374407582936, 69.90521327014218, 32.93838862559242, 33.175355450236964, 0.0, 33.88625592417062]","[46.770833333333336, 45.260416666666664, 42.96875, 45.15625, 50.0, 51.09375000000001, 51.927083333333336, 46.927083333333336, 47.239583333333336, 47.5, 50.0, 50.520833333333336, 51.302083333333336, 46.35416666666667, 47.34375, 0.0, 48.229166666666664]","[36.2962962962963, 39.07407407407407, 39.907407407407405, 36.2037037037037, 39.62962962962963, 45.092592592592595, 50.92592592592593, 52.96296296296297, 62.12962962962963, 70.83333333333334, 52.22222222222223, 61.85185185185185, 70.0925925925926, 35.18518518518518, 35.092592592592595, 0.0, 35.18518518518518]"
"[52.68292682926829, 51.38211382113821, 49.26829268292683, 50.89430894308943, 54.959349593495936, 55.28455284552845, 54.796747967479675, 51.54471544715447, 51.86991869918699, 51.38211382113821, 54.3089430894309, 54.146341463414636, 53.82113821138211, 52.68292682926829, 53.17073169117982, 0.0, 53.983739837398375]","[36.231884057971016, 38.84057971014493, 40.869565217391305, 37.971014492753625, 40.57971014492754, 46.08695652173913, 50.43478260869565, 48.69565217391305, 56.231884057971016, 62.608695652173914, 49.27536231884058, 57.10144927536232, 62.608695652173914, 35.36231884057971, 35.94202898550725, 0.0, 36.52173913043478]","[52.916666666666664, 52.916666666666664, 14.114583333333334, 51.197916666666664, 13.177083333333334, 49.53125, 13.750000000000002, 49.895833333333336, 16.40625, 54.84375, 15.520833333333334, 55.36458333333333, 16.770833333333332, 55.15624999999999, 17.604166666666668, 0.0, 13.697916666666668]","[36.48148148148148, 39.44444444444444, 49.907407407407405, 39.07407407407407, 50.27777777777778, 41.48148148148148, 55.18518518518518, 39.62962962962963, 55.46296296296296, 40.27777777777778, 49.629629629629626, 44.62962962962963, 53.24074074074075, 49.166666666666664, 53.61111111111111, 0.0, 58.05555555555556]"
"[51.733333333333334, 50, 49.06666666666667, 50.4, 53.2, 52.8, 52.666666666666664, 50.4, 50.4, 50.4, 52, 51.86666666666667, 51.6, 0.0, 0.0, 0.0, 52.266666666666666]","[42.654028436018955, 45.023696682464454, 45.497630331753555, 42.89099526066351, 46.44549763033175, 50.4739336492891, 53.791469194312796, 54.73933649289099, 59.00473933649289, 63.981042654028435, 55.45023696682465, 59.00473933649289, 63.981042654028435, 0.0, 0.0, 0.0, 43.60189573459716]","[51.24999999999999, 50.625, 49.947916666666664, 50.05208333333333, 52.39583333333333, 52.65625000000001, 52.39583333333333, 50.572916666666664, 50.31250000000001, 50.260416666666664, 51.979166666666664, 51.61458333333333, 51.354166666666664, 0.0, 0.0, 0.0, 52.1875]","[44.44444444444444, 46.574074074074076, 49.25925925925926, 49.629629629629626, 46.666666666666664, 49.81481481481482, 52.59259259259259, 53.7962962962963, 58.88888888888889, 63.61111111111111, 53.7962962962963, 58.98148148148148, 63.888888888888886, 0.0, 0.0, 0.0, 44.166666666666664]"
"[48.93333333333333, 47.86666666666667, 46.8, 47.733333333333334, 50.266666666666666, 50.8, 50.4, 48.266666666666666, 48.4, 48, 49.46666666666667, 49.6, 50, 48.53333333333333, 49.333333333333336, 48.266666666666666, 49.6]","[45.497630331753555, 47.867298578199055, 47.867298578199055, 45.7345971563981, 48.5781990521327, 52.3696682464455, 55.92417061611374, 57.345971563981045, 60.66350710900474, 64.69194312796209, 57.345971563981045, 60.18957345971564, 64.21800947867298, 45.023696682464454, 45.023696682464454, 45.7345971563981, 45.7345971563981]","[49.010416666666664, 48.229166666666664, 47.604166666666664, 47.760416666666664, 49.791666666666664, 50.05208333333333, 49.791666666666664, 49.84375, 48.229166666666664, 48.229166666666664, 48.229166666666664, 49.427083333333336, 49.427083333333336, 49.375, 48.69791666666667, 49.270833333333336, 48.229166666666664]","[46.111111111111114, 48.7962962962963, 50.83333333333333, 50.83333333333333, 48.888888888888886, 51.388888888888886, 52.59259259259259, 52.68518518518519, 54.629629629629626, 60.092592592592595, 65.18518518518519, 54.72222222222223, 59.72222222222222, 64.81481481481481, 45.74074074074074, 45.83333333333333, 45.925925925925924]"
